libCode,libName,BookCount,sample_n,bcode_missing_pct,korlit_ratio_pct,size_score,bcode_score,korlit_score,total_score
111314,서울도서관,618824,150,8.0,21.33,1.0,0.92,0.1666,0.7636
111036,광진정보도서관,407162,150,2.0,37.33,0.5428,0.98,0.4166,0.6643
111035,성동구립도서관,446029,150,0.0,22.0,0.6268,1.0,0.177,0.645
111077,금천구립가산도서관,157155,300,0.0,74.67,0.0028,1.0,1.0,0.6011
111034,중랑구립정보도서관,327015,150,0.0,34.0,0.3697,1.0,0.3645,0.589
111042,은평구립도서관,338126,150,0.0,30.67,0.3937,1.0,0.3125,0.5856
111045,관악중앙도서관,330180,300,0.0,28.0,0.3765,1.0,0.2708,0.5683
111037,강북문화정보도서관,211869,300,0.0,33.0,0.121,1.0,0.3489,0.4856
111065,동대문구정보화도서관,257493,300,0.0,16.0,0.2195,1.0,0.0833,0.4586
111377,서초구립반포도서관,227372,300,0.0,21.33,0.1544,1.0,0.1666,0.4534
111048,아리랑도서관,219730,300,0.0,22.33,0.1379,1.0,0.1822,0.4507
111076,성동구립 용답도서관,179285,300,0.0,29.67,0.0506,1.0,0.2969,0.4445
111058,노원중앙도서관,186379,150,0.0,26.0,0.0659,1.0,0.2395,0.4362
111442,성동구립 청계도서관,155872,300,0.0,28.67,0.0,1.0,0.2812,0.4203
111041,도봉문화정보도서관,251032,300,42.33,22.67,0.2056,0.5767,0.1875,0.331
111044,성북정보도서관,280003,150,54.0,10.67,0.2681,0.46,0.0,0.2682
